Date,Count
11/08/2024,"3,971,878"
11/07/2024,"4,232,190"
11/06/2024,"4,113,411"
11/05/2024,"3,640,246"
11/04/2024,"3,949,699"
11/03/2024,"2,602,870"
11/02/2024,"2,817,106"
11/01/2024,"3,780,874"
10/31/2024,"4,340,272"
10/30/2024,"4,417,951"
10/29/2024,"4,378,791"
10/28/2024,"3,983,168"
10/27/2024,"2,208,683"
10/26/2024,"2,828,539"
10/25/2024,"4,019,790"
10/24/2024,"4,304,831"
10/23/2024,"4,276,606"
10/22/2024,"4,218,881"
10/21/2024,"3,842,315"
10/20/2024,"2,176,476"
10/19/2024,"2,752,350"
10/18/2024,"4,030,998"
10/17/2024,"4,309,633"
10/16/2024,"4,357,117"
10/15/2024,"4,284,818"
10/14/2024,"3,066,851"
10/13/2024,"2,153,429"
10/12/2024,"2,587,128"
10/11/2024,"3,868,564"
10/10/2024,"4,329,161"
10/09/2024,"4,313,211"
10/08/2024,"4,256,950"
10/07/2024,"3,847,055"
10/06/2024,"2,065,294"
10/05/2024,"2,710,146"
10/04/2024,"3,506,654"
10/03/2024,"3,627,528"
10/02/2024,"4,068,073"
10/01/2024,"4,179,363"
09/30/2024,"3,849,138"
09/29/2024,"1,959,363"
09/28/2024,"2,557,982"
09/27/2024,"3,945,383"
09/26/2024,"4,295,723"
09/25/2024,"4,335,945"
09/24/2024,"4,323,708"
09/23/2024,"3,898,806"
09/22/2024,"2,131,910"
09/21/2024,"2,744,632"
09/20/2024,"3,933,048"
09/19/2024,"4,255,184"
09/18/2024,"4,232,888"
09/17/2024,"4,189,311"
09/16/2024,"3,821,428"
09/15/2024,"2,161,737"
09/14/2024,"2,706,474"
09/13/2024,"3,911,412"
09/12/2024,"4,232,214"
09/11/2024,"4,214,707"
09/10/2024,"4,182,405"
09/09/2024,"3,811,344"
09/08/2024,"2,101,048"
09/07/2024,"2,479,639"
09/06/2024,"3,794,952"
09/05/2024,"4,033,322"
09/04/2024,"3,868,854"
09/03/2024,"3,629,404"
09/02/2024,"2,007,446"
09/01/2024,"1,969,350"
08/31/2024,"2,158,004"
08/30/2024,"3,152,242"
08/29/2024,"3,438,760"
08/28/2024,"3,516,674"
08/27/2024,"3,477,101"
08/26/2024,"3,113,498"
08/25/2024,"1,905,818"
08/24/2024,"2,332,624"
08/23/2024,"3,209,666"
08/22/2024,"3,427,911"
08/21/2024,"3,498,651"
08/20/2024,"3,475,888"
08/19/2024,"3,076,559"
08/18/2024,"1,713,050"
08/17/2024,"2,256,233"
08/16/2024,"3,198,733"
08/15/2024,"3,495,671"
08/14/2024,"3,544,668"
08/13/2024,"3,491,612"
08/12/2024,"3,169,180"
08/11/2024,"1,918,748"
08/10/2024,"2,356,405"
08/09/2024,"3,041,276"
08/08/2024,"3,490,217"
08/07/2024,"3,511,253"
08/06/2024,"3,462,581"
08/05/2024,"3,222,601"
08/04/2024,"1,752,861"
08/03/2024,"2,200,373"
08/02/2024,"3,153,955"
08/01/2024,"3,544,663"
07/31/2024,"3,576,343"
07/30/2024,"3,590,241"
07/29/2024,"3,202,281"
07/28/2024,"1,851,383"
07/27/2024,"2,306,948"
07/26/2024,"3,288,849"
07/25/2024,"3,638,351"
07/24/2024,"3,656,472"
07/23/2024,"3,606,656"
07/22/2024,"3,235,343"
07/21/2024,"1,877,704"
07/20/2024,"2,269,647"
07/19/2024,"3,372,874"
07/18/2024,"3,637,826"
07/17/2024,"3,651,756"
07/16/2024,"3,594,150"
07/15/2024,"3,259,800"
07/14/2024,"1,869,670"
07/13/2024,"2,203,283"
07/12/2024,"3,261,074"
07/11/2024,"3,688,029"
07/10/2024,"3,691,835"
07/09/2024,"3,605,032"
07/08/2024,"3,228,784"
07/07/2024,"1,804,572"
07/06/2024,"2,100,877"
07/05/2024,"2,700,734"
07/04/2024,"1,992,244"
07/03/2024,"3,409,357"
07/02/2024,"3,542,073"
07/01/2024,"3,273,546"
06/30/2024,"2,002,269"
06/29/2024,"2,454,997"
06/28/2024,"3,522,732"
06/27/2024,"3,776,811"
06/26/2024,"3,901,100"
06/25/2024,"3,831,447"
06/24/2024,"3,467,845"
06/23/2024,"1,908,786"
06/22/2024,"2,385,207"
06/21/2024,"3,500,365"
06/20/2024,"3,857,797"
06/19/2024,"3,046,320"
06/18/2024,"3,920,839"
06/17/2024,"3,325,104"
06/16/2024,"1,897,201"
06/15/2024,"2,431,810"
06/14/2024,"3,517,062"
06/13/2024,"3,936,941"
06/12/2024,"3,977,760"
06/11/2024,"3,995,425"
06/10/2024,"3,702,212"
06/09/2024,"2,134,551"
06/08/2024,"2,673,220"
06/07/2024,"3,752,412"
06/06/2024,"3,774,324"
06/05/2024,"4,051,943"
06/04/2024,"3,979,793"
06/03/2024,"3,611,491"
06/02/2024,"1,978,037"
06/01/2024,"2,446,153"
05/31/2024,"3,688,627"
05/30/2024,"3,979,959"
05/29/2024,"4,006,764"
05/28/2024,"3,825,781"
05/27/2024,"1,667,890"
05/26/2024,"2,019,012"
05/25/2024,"2,347,159"
05/24/2024,"3,583,244"
05/23/2024,"3,863,099"
05/22/2024,"4,104,021"
05/21/2024,"4,029,557"
05/20/2024,"3,682,061"
05/19/2024,"2,121,485"
05/18/2024,"2,691,368"
05/17/2024,"3,816,914"
05/16/2024,"4,105,026"
05/15/2024,"4,114,615"
05/14/2024,"4,116,655"
05/13/2024,"3,703,066"
05/12/2024,"1,858,872"
05/11/2024,"2,648,580"
05/10/2024,"3,677,268"
05/09/2024,"4,086,528"
05/08/2024,"4,087,477"
05/07/2024,"4,098,321"
05/06/2024,"3,652,105"
05/05/2024,"1,889,174"
05/04/2024,"2,563,658"
05/03/2024,"3,780,888"
05/02/2024,"4,061,242"
05/01/2024,"4,032,791"
04/30/2024,"3,638,986"
04/29/2024,"3,323,706"
04/28/2024,"2,084,950"
04/27/2024,"2,506,779"
04/26/2024,"3,431,590"
04/25/2024,"3,723,894"
04/24/2024,"3,608,010"
04/23/2024,"3,522,218"
04/22/2024,"3,219,677"
04/21/2024,"1,918,237"
04/20/2024,"2,537,525"
04/19/2024,"3,705,782"
04/18/2024,"3,966,226"
04/17/2024,"4,021,256"
04/16/2024,"4,033,514"
04/15/2024,"3,704,177"
04/14/2024,"2,068,885"
04/13/2024,"2,535,112"
04/12/2024,"3,668,439"
04/11/2024,"4,000,485"
04/10/2024,"3,791,945"
04/09/2024,"4,042,674"
04/08/2024,"3,506,719"
04/07/2024,"1,899,641"
04/06/2024,"2,477,127"
04/05/2024,"3,800,800"
04/04/2024,"4,100,733"
04/03/2024,"3,890,305"
04/02/2024,"3,900,061"
04/01/2024,"3,321,989"
03/31/2024,"1,936,295"
03/30/2024,"2,526,569"
03/29/2024,"3,372,535"
03/28/2024,"3,910,547"
03/27/2024,"4,014,011"
03/26/2024,"3,969,793"
03/25/2024,"3,583,716"
03/24/2024,"1,912,946"
03/23/2024,"1,863,863"
03/22/2024,"3,581,959"
03/21/2024,"3,862,248"
03/20/2024,"3,886,104"
03/19/2024,"3,869,116"
03/18/2024,"3,482,565"
03/17/2024,"1,972,170"
03/16/2024,"2,553,056"
03/15/2024,"3,643,013"
03/14/2024,"4,049,186"
03/13/2024,"4,024,943"
03/12/2024,"3,988,438"
03/11/2024,"3,497,588"
03/10/2024,"1,803,578"
03/09/2024,"2,128,635"
03/08/2024,"3,685,219"
03/07/2024,"3,893,731"
03/06/2024,"3,865,589"
03/05/2024,"3,819,514"
03/04/2024,"3,539,671"
03/03/2024,"1,961,510"
03/02/2024,"2,094,029"
03/01/2024,"3,573,658"
02/29/2024,"3,905,888"
02/28/2024,"3,784,177"
02/27/2024,"3,802,458"
02/26/2024,"3,439,079"
02/25/2024,"1,740,477"
02/24/2024,"2,308,808"
02/23/2024,"3,219,121"
02/22/2024,"3,588,173"
02/21/2024,"3,591,484"
02/20/2024,"3,490,990"
02/19/2024,"2,244,741"
02/18/2024,"1,850,840"
02/17/2024,"2,178,047"
02/16/2024,"3,504,536"
02/15/2024,"3,874,860"
02/14/2024,"3,963,628"
02/13/2024,"2,273,584"
02/12/2024,"3,374,596"
02/11/2024,"1,774,698"
02/10/2024,"2,385,448"
02/09/2024,"3,547,321"
02/08/2024,"3,903,673"
02/07/2024,"3,900,992"
